Graph, True,ExpertA,ExpertB,ExpertC,ExpertD,ExpertE,CDC,MachineL,Autocorrelation,Trend,Variability,PointsA,PointsB,EffectSize
683,1,0,0,0,0,0,0,0,0,0,0.1,5,5,2
684,1,0,0,0,0,0,1,0,0,0,0.25,5,10,2
685,0,0,0,0,0,0,0,0,0,0,0.1,3,10,0
686,1,1,0,0,0,0,0,0,0,30,0.25,5,10,1
687,1,1,0,0,0,0,1,0,0.2,30,0.25,5,10,2
688,1,1,1,1,1,1,1,1,0.2,30,0.25,5,5,1
689,0,0,0,0,0,0,0,0,0.2,0,0.25,5,5,0
690,0,0,0,0,0,0,0,0,0.2,30,0.1,3,5,0
691,1,1,1,1,1,1,1,1,0.2,0,0.1,5,5,4
692,0,1,0,0,0,0,0,0,0,30,0.1,3,10,0
693,1,0,1,1,1,0,0,1,0.2,0,0.25,3,5,1
694,0,0,0,0,0,0,0,0,0,0,0.1,5,5,0
695,1,0,0,0,0,0,0,0,0,0,0.1,5,10,1
696,1,1,0,0,1,1,1,1,0,30,0.25,5,5,3
697,1,1,1,0,0,0,0,1,0,30,0.1,5,10,4
698,1,1,1,1,1,1,1,1,0.2,0,0.25,3,10,4
699,1,0,0,0,0,0,0,0,0.2,0,0.25,5,5,1
700,0,0,0,0,0,0,0,0,0.2,0,0.1,5,10,0
701,1,1,1,1,1,1,1,1,0.2,0,0.25,3,5,5
702,1,0,0,0,0,0,0,1,0.2,0,0.1,3,10,1
703,1,1,1,1,1,0,0,1,0,0,0.1,3,5,3
704,1,1,1,1,1,1,1,1,0,0,0.1,3,10,5
705,0,1,0,0,0,0,0,0,0.2,30,0.1,5,10,0
706,1,1,0,0,1,0,0,1,0.2,30,0.1,5,5,1
707,0,0,0,0,0,0,0,0,0,0,0.25,5,10,0
708,0,0,0,0,0,0,0,0,0.2,30,0.25,5,5,0
709,0,0,0,0,0,0,0,0,0,0,0.1,3,10,0
710,0,1,0,0,0,0,0,0,0,30,0.1,5,10,0
711,1,1,1,1,1,1,1,1,0,30,0.1,5,10,4
712,0,0,0,0,0,0,0,0,0,0,0.25,5,10,0
713,1,1,1,1,1,1,1,1,0,0,0.1,3,10,4
714,0,0,0,0,0,0,0,0,0.2,30,0.25,3,5,0
715,0,0,0,0,0,0,0,0,0,0,0.1,3,5,0
716,1,1,1,1,1,1,1,1,0.2,0,0.25,3,5,5
717,1,0,0,0,0,0,0,0,0,0,0.25,3,10,1
718,1,1,0,1,1,0,0,1,0.2,30,0.1,3,10,5
719,1,0,0,0,0,0,0,0,0.2,0,0.1,5,5,1
720,0,1,0,0,0,0,0,0,0,30,0.1,3,5,0
721,1,1,1,1,1,1,1,1,0,30,0.25,5,10,4
722,0,1,0,0,1,1,1,1,0.2,0,0.25,5,5,0
723,1,1,0,0,1,1,1,1,0,0,0.25,5,5,5
724,1,1,0,0,0,0,0,1,0,0,0.1,3,5,4
725,1,0,0,0,0,1,1,1,0.2,0,0.1,5,10,1
726,0,0,0,0,0,1,1,0,0,30,0.25,5,5,0
727,1,1,1,0,1,1,0,1,0,30,0.25,3,5,2
728,1,1,0,0,0,0,1,0,0.2,30,0.1,5,10,1
729,1,1,0,0,0,1,1,1,0.2,30,0.1,5,10,5
730,0,0,0,0,0,0,0,0,0.2,0,0.25,5,5,0
731,0,0,0,0,0,0,0,0,0,0,0.25,3,5,0
732,1,1,1,1,1,1,1,1,0,30,0.25,5,10,5
733,0,0,0,0,0,0,0,0,0,30,0.1,3,5,0
734,1,0,1,1,1,1,1,1,0.2,30,0.25,3,10,5
735,1,0,0,0,0,1,1,1,0,0,0.1,5,10,3
736,1,1,1,0,1,1,1,1,0,30,0.1,5,5,2
737,0,0,0,0,0,0,0,0,0.2,0,0.1,5,5,0
738,1,1,1,1,1,1,1,1,0,30,0.1,5,5,4
739,1,1,1,1,1,1,1,1,0.2,30,0.25,5,5,2
740,1,1,1,1,1,1,1,1,0.2,30,0.1,3,10,5
741,0,0,0,0,0,0,0,0,0,0,0.25,3,10,0
742,1,1,1,1,1,1,1,1,0.2,30,0.1,5,5,4
743,1,1,0,1,1,0,0,1,0,30,0.25,3,5,1
744,1,1,0,0,0,1,1,1,0.2,0,0.1,3,10,2
745,1,1,1,1,1,1,1,1,0.2,0,0.25,5,10,3
746,0,0,0,0,0,0,0,0,0,0,0.25,3,10,0
747,0,1,0,0,1,0,1,0,0.2,30,0.1,3,5,0
748,1,0,0,0,0,1,1,1,0.2,0,0.1,3,5,3
749,1,1,0,1,1,1,1,1,0.2,0,0.25,3,5,2
750,1,1,0,0,0,0,1,1,0.2,30,0.1,5,10,5
751,1,1,1,1,1,1,1,1,0,0,0.25,3,5,3
752,0,0,0,0,0,0,0,0,0.2,0,0.1,3,10,0
753,1,1,1,1,1,1,1,0,0.2,30,0.25,3,10,2
754,0,1,0,0,0,0,0,0,0,30,0.25,5,5,0
755,1,1,1,1,1,1,1,1,0.2,30,0.1,5,10,5
756,0,0,0,0,0,0,0,0,0,0,0.25,3,10,0
757,1,1,0,1,1,1,1,1,0.2,30,0.1,5,5,5
758,1,1,0,0,1,1,0,1,0.2,0,0.1,3,5,2
759,1,1,0,1,1,0,0,1,0.2,0,0.1,3,5,4
760,1,1,0,0,1,1,1,1,0,0,0.25,5,5,1
761,0,0,0,0,0,0,0,0,0,0,0.25,3,10,0
762,1,1,0,0,1,0,0,1,0,30,0.25,3,10,4
763,1,0,0,0,0,0,0,0,0.2,0,0.1,3,10,1
764,1,1,0,0,0,1,1,1,0,30,0.1,5,10,5
765,1,1,1,1,1,1,1,1,0.2,30,0.25,5,5,3
766,1,1,1,1,1,1,1,1,0,30,0.25,3,5,1
767,1,1,1,1,1,1,1,1,0,30,0.25,5,5,5
768,1,1,0,0,1,0,0,1,0.2,30,0.25,3,5,2
769,1,1,1,1,1,0,1,1,0.2,30,0.1,3,5,4
770,0,1,0,1,1,1,0,1,0,30,0.25,5,10,0
771,0,0,0,0,0,0,0,0,0,0,0.25,5,5,0
772,1,1,1,0,1,0,1,0,0,0,0.25,3,5,2
773,0,1,1,0,0,1,1,1,0.2,30,0.1,5,5,0
774,1,1,0,0,0,1,1,1,0,30,0.25,5,10,2
775,1,1,1,1,1,1,1,1,0.2,0,0.25,3,5,4
776,1,0,0,0,0,0,0,0,0.2,30,0.1,3,5,1
777,1,1,1,1,1,1,1,1,0,30,0.1,3,5,4
778,0,0,0,0,0,0,0,0,0.2,0,0.25,5,5,0
779,1,1,1,1,1,1,1,1,0,30,0.25,3,10,3
780,1,1,1,0,1,1,1,1,0,0,0.25,5,5,4
781,1,1,1,1,1,1,1,1,0,0,0.25,3,10,3
782,1,1,1,1,1,1,1,1,0.2,0,0.1,5,10,3
783,1,1,0,0,1,1,1,0,0.2,30,0.1,3,5,2
784,1,1,1,1,1,1,1,1,0.2,0,0.25,5,10,2
785,1,1,1,1,1,0,0,1,0.2,0,0.25,3,5,2
786,1,0,0,0,0,1,1,1,0.2,0,0.1,5,10,1
787,0,1,1,1,1,1,0,1,0.2,30,0.25,3,10,0
788,0,0,0,0,0,0,0,0,0,0,0.1,3,5,0
789,0,1,0,0,0,0,0,0,0.2,30,0.25,5,10,0
790,1,0,0,0,0,1,1,1,0,0,0.1,3,10,3
791,1,1,1,0,1,0,1,1,0,30,0.1,3,5,3
792,1,1,0,0,0,1,1,1,0,0,0.1,5,5,4
793,1,1,0,1,1,1,1,1,0,0,0.1,5,10,5
794,1,1,1,1,1,1,1,1,0,0,0.1,3,5,4
795,0,0,0,0,0,0,0,0,0.2,0,0.1,3,5,0
796,1,1,1,1,1,0,1,1,0.2,30,0.1,5,5,3
797,0,0,0,0,0,0,0,0,0,0,0.25,3,10,0
798,1,1,1,1,1,1,1,1,0,0,0.25,5,10,4
799,0,1,0,0,0,0,0,0,0.2,30,0.25,3,5,0
800,0,1,0,0,1,0,0,0,0,30,0.25,5,5,0
801,0,0,0,0,0,0,0,0,0.2,30,0.25,5,5,0
802,1,1,1,1,1,1,1,1,0,30,0.25,3,10,2
803,1,0,0,0,0,0,0,0,0.2,0,0.1,3,5,2
804,1,1,0,0,0,0,0,0,0,30,0.25,3,10,1
805,0,1,0,0,1,0,0,1,0.2,30,0.25,5,10,0
806,0,0,0,0,0,0,0,0,0.2,0,0.1,3,10,0
807,1,1,1,1,1,1,1,1,0,30,0.25,5,10,3
808,0,0,0,0,0,0,0,0,0,0,0.25,5,5,0
809,0,1,0,0,1,0,0,1,0,30,0.25,3,5,0
810,1,1,1,1,1,1,1,1,0.2,30,0.25,5,5,4
811,1,1,0,1,1,1,1,1,0.2,0,0.1,3,10,4
812,1,0,0,0,0,0,1,0,0,0,0.25,5,10,1
813,0,0,0,0,0,0,0,0,0.2,30,0.1,3,5,0
814,1,1,0,0,1,0,0,1,0.2,30,0.25,3,10,3
815,1,1,1,0,1,1,1,1,0.2,0,0.25,5,5,1
816,0,1,0,0,0,1,1,0,0,0,0.1,5,10,0
817,0,1,1,1,1,1,1,1,0,30,0.25,3,5,0
818,1,1,0,0,1,0,1,0,0,30,0.1,5,5,1
819,1,1,1,1,1,1,1,1,0,0,0.25,5,5,5
820,1,1,1,1,1,1,1,1,0.2,0,0.25,5,10,5
821,1,1,0,0,1,0,0,1,0.2,30,0.25,3,5,1
822,0,0,0,0,0,0,0,0,0.2,0,0.1,5,10,0
823,0,0,0,0,0,0,0,0,0,30,0.25,3,5,0
824,0,0,0,0,0,0,0,0,0,0,0.1,5,5,0
825,0,1,0,0,0,0,0,0,0.2,30,0.25,3,5,0
826,1,0,0,0,0,1,1,1,0.2,0,0.1,5,10,2
827,1,0,0,0,0,0,0,0,0.2,0,0.1,5,10,1
828,1,1,0,1,1,0,0,1,0,0,0.1,3,10,3
829,0,1,0,0,1,1,0,1,0,30,0.25,5,10,0
830,1,1,1,1,1,1,1,1,0.2,30,0.1,5,10,2
831,1,1,1,1,1,0,1,1,0,30,0.25,3,5,2
832,0,1,0,0,0,0,0,0,0.2,30,0.25,5,5,0
833,1,1,0,0,1,1,1,0,0,30,0.1,3,10,1
834,0,1,0,0,0,0,0,0,0,30,0.25,3,10,0
835,1,0,0,0,0,0,0,0,0,0,0.1,3,10,1
836,1,1,0,1,1,1,1,1,0,0,0.25,3,10,3
837,0,0,0,0,0,0,0,0,0.2,30,0.1,5,5,0
838,1,1,1,0,1,1,1,1,0.2,0,0.25,3,10,3
839,0,0,0,0,0,0,0,0,0.2,0,0.1,3,5,0
840,1,1,0,0,1,1,1,1,0.2,30,0.1,5,10,3
841,1,1,0,0,1,1,1,1,0.2,30,0.25,5,5,5
842,1,1,0,0,1,0,0,1,0,30,0.1,3,5,4
843,1,0,0,0,1,0,0,0,0.2,0,0.25,5,5,2
844,1,1,0,0,1,1,1,0,0,0,0.1,3,10,2
845,1,1,1,1,1,1,1,1,0,0,0.25,5,10,3
846,1,1,1,1,1,1,1,1,0,30,0.25,3,5,4
847,0,0,1,0,0,0,0,0,0.2,0,0.25,3,5,0
848,1,1,0,1,1,1,1,1,0.2,0,0.1,5,5,3
849,0,0,1,0,0,0,0,0,0.2,0,0.1,5,5,0
850,1,1,0,1,1,1,1,1,0.2,30,0.25,3,5,4
851,1,0,0,0,0,0,0,0,0,0,0.1,3,5,1
852,0,0,0,0,0,0,0,0,0.2,30,0.1,3,5,0
853,1,1,1,1,1,1,1,1,0.2,30,0.25,3,5,3
854,1,1,1,0,1,1,0,0,0.2,30,0.25,3,5,2
855,0,1,0,0,1,0,0,1,0.2,30,0.1,3,5,0
856,0,0,0,0,0,0,0,0,0,0,0.25,5,5,0
857,1,1,0,1,1,0,0,1,0.2,30,0.1,5,10,1
858,1,1,1,1,1,1,1,1,0.2,0,0.25,5,5,3
859,1,0,0,0,0,0,0,0,0.2,0,0.1,3,5,1
860,1,1,0,0,0,0,0,1,0,30,0.25,3,5,5
861,0,1,0,0,0,0,0,0,0.2,30,0.1,3,10,0
862,1,1,1,1,1,1,1,1,0,30,0.25,3,10,5
863,1,1,0,0,0,0,1,1,0.2,30,0.1,3,5,4
864,1,1,1,1,1,1,1,1,0.2,30,0.25,3,10,5
865,0,0,0,0,0,0,0,0,0.2,30,0.1,5,5,0
866,1,1,1,1,1,0,0,1,0.2,0,0.25,3,10,3
867,0,0,0,0,0,0,0,0,0.2,0,0.1,3,10,0
868,1,1,0,1,1,1,1,0,0,30,0.25,5,10,1
869,0,1,0,0,0,0,0,0,0,30,0.25,5,5,0
870,0,0,0,0,0,0,0,0,0.2,0,0.25,5,10,0
871,1,1,1,1,1,1,1,1,0.2,0,0.1,5,5,5
872,1,1,1,1,1,1,1,1,0.2,30,0.1,5,5,5
873,1,1,1,1,1,1,1,1,0,30,0.1,5,10,3
874,1,1,0,1,1,1,1,1,0,0,0.1,5,5,5
875,1,1,1,1,1,1,1,1,0,0,0.25,5,10,3
876,0,1,0,0,0,0,0,0,0,30,0.1,3,10,0
877,1,1,1,1,1,1,1,1,0,30,0.1,5,10,4
878,1,0,0,0,0,1,1,0,0.2,0,0.25,5,5,1
879,1,1,0,0,1,1,1,1,0,30,0.25,5,5,2
880,0,0,0,0,0,0,0,0,0.2,30,0.1,5,5,0
881,1,1,1,0,1,1,1,1,0.2,0,0.25,3,5,3
882,0,0,0,0,0,0,0,0,0,0,0.25,3,5,0
883,1,1,1,1,1,1,1,1,0.2,30,0.1,3,10,3
884,0,0,0,0,0,1,1,0,0,30,0.1,5,5,0
885,1,1,1,1,1,1,1,1,0.2,30,0.1,3,10,5
886,0,0,0,0,0,0,0,0,0,0,0.1,3,5,0
887,0,1,0,0,0,0,1,0,0.2,30,0.25,5,10,0
888,1,1,1,0,1,1,1,1,0.2,30,0.1,3,10,2
889,0,0,0,0,0,0,0,0,0,0,0.25,3,10,0
890,0,1,0,0,0,0,1,0,0,0,0.25,3,10,0
891,1,1,0,0,1,0,0,0,0.2,30,0.1,5,10,3
892,1,1,1,1,1,1,1,1,0,0,0.25,3,10,4
893,0,1,0,0,0,0,0,0,0,30,0.1,5,10,0
894,1,1,1,1,1,1,1,0,0,30,0.25,3,5,3
895,1,1,0,0,0,1,1,1,0.2,30,0.25,5,10,3
896,1,1,1,1,1,1,1,1,0,0,0.1,5,5,5
897,0,1,0,0,1,0,0,0,0.2,30,0.25,5,5,0
898,1,1,1,1,1,1,1,1,0,30,0.1,5,5,5
899,0,0,0,0,0,0,1,0,0.2,0,0.1,3,10,0
900,1,1,0,0,0,0,0,0,0,30,0.1,3,10,3
901,1,1,0,0,0,0,1,0,0.2,30,0.1,5,10,2
902,0,1,0,0,0,0,0,0,0,30,0.25,3,10,0
903,1,0,0,0,0,0,0,0,0,0,0.25,5,10,1
904,0,1,1,1,1,1,1,1,0.2,30,0.25,3,5,0
905,0,1,0,1,1,1,1,0,0.2,30,0.25,3,10,0
906,0,0,0,0,0,0,0,0,0,0,0.1,3,5,0
907,1,1,0,0,1,0,0,0,0,30,0.1,5,5,2
908,0,1,0,0,0,0,1,0,0.2,30,0.1,5,10,0
909,1,1,1,1,1,0,1,1,0,0,0.25,3,5,4
910,0,0,0,0,0,0,0,0,0,0,0.25,3,5,0
911,1,1,1,1,1,1,1,1,0,30,0.25,5,10,3
912,0,1,0,0,1,1,0,1,0.2,30,0.1,5,10,0
913,0,1,1,1,1,1,1,0,0,30,0.25,3,10,0
914,0,0,0,0,0,0,0,0,0.2,30,0.25,5,5,0
915,1,0,0,0,0,0,0,1,0,30,0.1,3,5,1
916,0,0,0,0,0,0,0,0,0.2,0,0.25,3,5,0
917,1,1,0,0,1,1,1,1,0,30,0.25,3,5,1
918,1,1,0,0,1,1,1,1,0.2,0,0.25,5,10,1
919,1,1,1,0,1,1,1,1,0.2,0,0.25,3,10,3
920,1,1,1,1,1,1,1,1,0.2,30,0.25,5,5,3
921,1,1,0,1,1,0,0,1,0,0,0.1,3,10,5
922,0,0,0,0,0,0,0,0,0,0,0.1,3,10,0
923,0,1,0,0,0,0,0,0,0.2,30,0.1,5,10,0
924,1,1,1,1,1,1,1,1,0,0,0.1,3,5,5
925,1,1,1,1,1,1,1,1,0,0,0.25,5,5,3
926,0,1,1,0,1,1,1,0,0,30,0.1,3,5,0
927,0,1,0,0,0,1,1,0,0.2,30,0.1,3,10,0
928,1,0,0,0,0,0,0,1,0,0,0.1,5,10,1
929,1,1,1,1,1,1,1,1,0.2,30,0.1,5,5,4
930,1,1,0,0,0,0,0,1,0,30,0.1,5,10,2
931,1,1,0,0,0,1,1,0,0.2,30,0.1,3,10,2
932,0,1,0,0,0,0,0,0,0.2,30,0.1,5,10,0
933,0,0,0,0,0,0,0,0,0.2,0,0.1,3,10,0
934,1,1,1,1,1,1,1,1,0.2,0,0.25,5,10,4
935,1,1,1,1,1,1,1,1,0.2,0,0.25,3,5,5
936,1,1,0,0,1,1,1,1,0.2,30,0.25,5,5,1
937,0,1,0,0,0,1,0,0,0,30,0.25,5,10,0
938,1,1,0,0,0,0,0,0,0.2,30,0.1,3,10,3
939,1,1,0,0,0,0,1,0,0.2,0,0.1,3,5,1
940,1,1,1,1,1,1,1,0,0.2,30,0.25,3,5,2
941,1,0,0,0,0,0,0,1,0.2,0,0.1,5,5,1
942,0,1,0,0,0,0,0,0,0,30,0.25,3,10,0
943,0,0,0,0,0,0,0,0,0,0,0.1,5,10,0
944,0,1,1,1,1,1,1,1,0,30,0.25,3,10,0
945,1,1,0,0,1,0,1,1,0,0,0.1,5,5,3
946,1,1,0,0,1,0,0,1,0.2,0,0.1,3,10,5
947,0,0,0,0,0,0,0,0,0,0,0.1,3,5,0
948,0,0,0,0,0,0,0,0,0,30,0.25,5,10,0
949,1,1,1,1,1,1,1,1,0,30,0.1,3,5,2
950,1,1,1,1,1,1,1,1,0,30,0.1,5,5,5
951,0,0,0,0,0,0,0,0,0.2,0,0.25,3,10,0
952,0,0,0,0,0,0,0,0,0,0,0.1,5,5,0
953,0,0,0,0,0,0,0,0,0,0,0.1,5,5,0
954,0,0,0,0,0,0,0,0,0,0,0.25,3,5,0
955,1,1,1,0,1,1,1,1,0.2,30,0.25,5,5,4
956,1,1,0,1,1,1,1,1,0,0,0.25,5,5,4
957,0,0,0,0,0,0,0,0,0.2,0,0.1,3,5,0
958,1,1,1,0,0,1,1,1,0,0,0.25,5,5,2
959,1,1,0,1,1,1,1,1,0.2,30,0.25,5,5,3
960,0,1,0,0,0,0,1,0,0.2,30,0.25,5,10,0
961,1,1,0,0,1,1,1,0,0,30,0.1,3,10,2
962,0,0,0,0,0,0,0,0,0.2,0,0.25,3,5,0
963,1,1,1,0,1,1,1,1,0.2,30,0.1,5,10,4
964,1,1,0,0,1,1,1,0,0.2,30,0.1,3,10,1
965,1,1,1,0,1,0,1,0,0.2,0,0.25,5,10,3
966,0,1,0,0,1,0,0,0,0,30,0.25,5,5,0
967,0,0,0,0,0,0,0,0,0,0,0.25,5,10,0
968,1,1,1,1,1,1,1,1,0,30,0.25,3,5,3
969,0,0,0,0,0,0,0,0,0,0,0.1,5,5,0
970,1,1,1,1,1,0,0,1,0,0,0.25,5,10,5
971,1,1,1,0,1,1,1,1,0,0,0.1,5,5,4
972,1,1,0,0,1,1,1,1,0,0,0.1,5,10,3
973,1,1,1,0,1,1,1,1,0,30,0.1,3,10,3
974,0,1,1,0,1,0,0,0,0,30,0.25,3,5,0
975,1,0,0,0,0,0,0,0,0.2,0,0.25,3,10,1
976,0,1,0,0,0,0,0,0,0.2,30,0.25,3,5,0
977,1,1,0,0,1,0,0,1,0,0,0.1,3,5,5
978,1,1,0,0,0,0,1,0,0,30,0.25,3,5,3
979,1,1,0,0,1,1,1,1,0.2,0,0.1,3,10,3
980,0,1,0,0,0,0,0,0,0,30,0.25,5,5,0
981,1,1,0,0,0,0,0,0,0.2,30,0.1,5,5,2
982,1,1,1,1,1,1,1,1,0,30,0.1,3,10,5
983,1,1,1,1,1,1,1,1,0,30,0.1,3,10,5
984,0,1,1,1,1,1,1,0,0.2,30,0.25,3,10,0
985,1,1,0,0,0,0,0,0,0,30,0.1,5,5,3
986,1,1,0,0,1,1,1,1,0.2,30,0.1,3,5,3
987,0,0,0,0,0,0,0,0,0,0,0.1,3,10,0
988,1,1,0,0,0,0,0,1,0,30,0.1,3,10,5
989,1,1,1,1,1,1,1,1,0,30,0.1,3,10,4
990,1,1,0,0,1,0,0,0,0,30,0.1,3,5,1
991,1,1,0,0,1,0,1,1,0.2,30,0.1,5,5,2
992,0,1,0,0,1,1,1,0,0.2,30,0.1,5,5,0
993,1,1,1,1,1,1,1,0,0,30,0.1,3,5,2
994,1,1,1,1,1,1,1,1,0,0,0.1,5,10,5
995,1,1,0,0,1,0,0,1,0.2,0,0.25,3,10,4
996,0,1,0,0,0,0,0,0,0,30,0.1,3,10,0
997,1,1,1,0,1,1,0,1,0,30,0.1,5,10,2
998,0,1,1,1,1,1,1,0,0.2,30,0.25,3,10,0
999,0,0,0,0,0,0,0,0,0.2,0,0.1,5,10,0
1000,1,1,1,1,1,0,1,1,0,0,0.25,3,5,2
1001,0,0,0,0,0,0,0,0,0,0,0.25,5,5,0
1002,0,1,0,0,0,0,0,0,0.2,30,0.1,3,10,0
1003,1,1,1,1,1,1,1,1,0.2,0,0.1,5,10,5
1004,1,1,0,1,0,1,1,0,0,30,0.1,5,10,2
1005,0,1,0,0,0,0,0,0,0.2,0,0.25,3,5,0
1006,0,1,0,0,0,0,0,0,0,30,0.1,5,10,0
1007,1,1,0,0,0,0,0,0,0,30,0.25,5,5,1
1008,0,1,0,0,0,0,0,0,0.2,30,0.25,3,10,0
1009,1,1,0,0,1,1,1,0,0.2,30,0.25,3,5,1
1010,1,1,1,1,1,1,1,1,0.2,0,0.25,5,10,4
1011,1,1,1,1,1,1,1,1,0,0,0.25,3,10,5
1012,1,1,0,0,1,1,1,1,0,30,0.1,5,5,2
1013,1,1,1,1,1,1,1,1,0.2,0,0.25,3,10,5
1014,1,1,1,1,1,1,1,1,0,0,0.1,3,5,5
1015,1,1,0,0,1,0,0,0,0,30,0.25,5,5,1
1016,0,1,0,0,0,0,0,0,0.2,30,0.1,3,10,0
1017,1,0,0,0,0,0,0,0,0,30,0.1,5,10,1
1018,1,1,0,0,1,1,1,1,0,30,0.25,5,10,3
1019,1,1,0,0,0,0,0,1,0.2,30,0.1,3,10,1
1020,0,1,0,0,0,0,0,0,0,30,0.1,5,5,0
1021,0,0,0,0,0,0,0,0,0,0,0.25,5,5,0
1022,0,1,0,0,0,0,0,0,0,30,0.1,3,10,0
1023,1,1,0,0,0,0,0,0,0.2,30,0.1,5,5,1
1024,0,1,1,1,1,1,1,0,0,30,0.25,5,10,0
